mfe_0,mfe_1,mfe_2,mfe_3,mfe_4,mfe_5,mfe_6,mfe_7,mfe_8,mfe_9,mfe_10,mfe_11,mfe_12,rms_x,var_x,rms_y,var_y,rms_z,var_z
-2.3222234,-6.8971057,-11.557369,-10.690893,-12.088303,-17.611485,-15.912058,-19.110855,-21.58411,-22.920965,-21.963474,-26.238033,-30.354774,0.05998555327378835,0.00010434838867187501,0.04989857877798224,0.00014443353271484377,0.7949370199724355,0.00011101995849609372
-2.2606273,-6.1548624,-14.254504,-13.868844,-14.65942,-19.450607,-18.341293,-21.482838,-24.109215,-24.241812,-23.676453,-28.331753,-32.2845,0.05935906447339151,8.385931396484375e-05,0.048932856430792614,0.00016444517517089842,0.7932980381570032,0.0001381859741210938
-4.268605,-8.756897,-9.368151,-9.745169,-14.521557,-19.60657,-18.997536,-22.747992,-25.838114,-24.839779,-25.20729,-29.663206,-33.72663,0.05924688068661295,8.520013427734376e-05,0.04947447209088617,0.00010758276367187502,0.7941173178146445,0.00017390814208984368
-5.857271,-11.412126,-11.417377,-10.1218,-14.596377,-20.735966,-20.154144,-21.44627,-26.371536,-26.056942,-26.457344,-30.765247,-34.799843,0.0588687556816671,7.565269470214843e-05,0.048758857118075864,8.578453063964844e-05,0.7946397207329883,0.0001661712493896485
-1.6817579,-4.7963486,-12.076067,-14.233145,-14.292025,-16.889122,-17.317104,-21.34628,-23.472132,-22.77828,-21.742477,-26.455532,-30.29647,0.05933116700293099,8.833299255371094e-05,0.04850675492586058,9.368554687499998e-05,0.7952072967317331,0.000130879150390625
-2.4292555,-6.5175285,-12.452326,-13.911221,-14.032452,-17.05904,-18.087563,-21.096315,-23.411564,-22.795967,-21.317303,-26.635262,-30.565063,0.05959560170169859,8.628997802734375e-05,0.049081063615859656,9.782029724121093e-05,0.79448628076096,0.00017060362243652343
-1.8828577,-6.737538,-10.949284,-13.333645,-13.736744,-16.378757,-16.961647,-20.212105,-22.151829,-22.565765,-20.528522,-25.565836,-29.519127,0.05929270612815711,9.794378662109375e-05,0.049297896433554214,9.580747985839843e-05,0.7945324118876705,0.00013219236755371093
-2.7276478,-8.893,-12.34968,-14.224312,-14.847722,-17.619892,-18.063774,-21.629423,-23.303514,-23.362606,-21.617828,-26.407873,-30.215725,0.059884991092953546,0.00011718621826171874,0.0499173816933259,0.00010106980895996093,0.7949297354494659,0.00014290708923339843
-3.4887128,-10.964487,-13.768415,-16.841316,-17.651798,-19.952316,-19.783592,-24.284512,-25.55994,-25.244587,-23.808556,-28.518112,-32.593117,0.05986052514556755,0.000128047119140625,0.049541969463085034,9.305419921875e-05,0.7945516259985584,0.00015651855468749997
-1.3958262,-4.072401,-8.768394,-11.490717,-12.924992,-15.79907,-14.586445,-19.973404,-21.480606,-20.58488,-19.492218,-24.26828,-28.145424,0.06051826440958496,0.00013474998474121094,0.048913519078398075,0.00011135057067871092,0.7947265865000611,0.0001552486419677734
